product_offer_reference,concrete_sku,merchant_reference,merchant_sku,is_active,approval_status
offer425,service-001-1,MERSPRYKER,,1,approved
offer426,service-001-1,MERSPRYKER,,1,approved
offer427,service-001-1,MERSPRYKER,,1,approved
offer428,service-001-1,MERSPRYKER,,1,approved
offer429,service-002-1,MERSPRYKER,,1,approved
offer430,service-002-1,MERSPRYKER,,1,approved
offer431,service-002-1,MERSPRYKER,,1,approved
offer432,service-002-1,MERSPRYKER,,1,approved
offer433,service-003-1,MERSPRYKER,,1,approved
offer434,service-003-1,MERSPRYKER,,1,approved
offer435,service-003-1,MERSPRYKER,,1,approved
offer436,service-003-1,MERSPRYKER,,1,approved
offer437,service-004-1,MERSPRYKER,,1,approved
offer438,service-004-1,MERSPRYKER,,1,approved
offer439,service-004-1,MERSPRYKER,,1,approved
offer440,service-004-1,MERSPRYKER,,1,approved
