abstract_sku,concrete_sku,product_abstract_store.store_name,product_abstract.category_key,product_abstract.category_product_order,product_abstract.is_featured,product_abstract.color_code,product_abstract.tax_set_name,product_abstract.new_from,product_abstract.new_to,product_abstract.meta_title.de_DE,product_abstract.meta_title.en_US,product_abstract.meta_description.de_DE,product_abstract.meta_description.en_US,product_abstract.meta_keywords.de_DE,product_abstract.meta_keywords.en_US,product_abstract.url.de_DE,product_abstract.url.en_US,product_concrete.old_sku,product_concrete.bundled,product_concrete.is_quantity_splittable,product_concrete.is_searchable.de_DE,product_concrete.is_searchable.en_US,product.assigned_product_type,product.name.de_DE,product.name.en_US,product.description.de_DE,product.description.en_US,product.attribute_key_1,product.value_1,product.attribute_key_1.de_DE,product.value_1.de_DE,product.attribute_key_1.en_US,product.value_1.en_US,product.attribute_key_2,product.value_2,product.attribute_key_2.de_DE,product.value_2.de_DE,product.attribute_key_2.en_US,product.value_2.en_US,product.attribute_key_3,product.value_3,product.attribute_key_3.de_DE,product.value_3.de_DE,product.attribute_key_3.en_US,product.value_3.en_US,product.attribute_key_4,product.value_4,product.attribute_key_4.de_DE,product.value_4.de_DE,product.attribute_key_4.en_US,product.value_4.en_US,product.attribute_key_5,product.value_5,product.attribute_key_5.de_DE,product.value_5.de_DE,product.attribute_key_5.en_US,product.value_5.en_US,product.attribute_key_6,product.value_6,product.attribute_key_6.de_DE,product.value_6.de_DE,product.attribute_key_6.en_US,product.value_6.en_US,product.attribute_key_7,product.value_7,product.attribute_key_7.de_DE,product.value_7.de_DE,product.attribute_key_7.en_US,product.value_7.en_US,product_stock.name,product_stock.quantity,product_stock.is_never_out_of_stock,product_stock.is_bundle,product_group.group_key,product_group.position,product_price.assigned_product_type,product_price.price_type,product_price.store,product_price.currency,product_price.value_net,product_price.value_gross,product_price.price_data.volume_prices,product_image.assigned_product_type,product_image.image_set_name,product_image.external_url_large,product_image.external_url_small,product_image.locale,product_image.sort_order,product_image.product_image_key,product_image.product_image_set_key
M23457,424453,DE,,,,,,,,,,,,,,,,,,,1,1,concrete,"Schneider Kugelschreiber HAPTIFY 135323 M 0,5mm dunkelblau/hellblau","Schneider ballpoint pen HAPTIFY 135323 M 0.5 mm, dark blue/light blue","Für eine ideale Haltung der Hand. Sein modernes Design hebt sich vom Durchschnitt ab. Mit revolutionärer ViscoGlide®-Technology.<p>* Strichstärke: 0,5 mm * Typbezeichnung der Strichstärke: M * Schreibfarbe: blau * Typbezeichnung der Mine: Slider 757 * Mine auswechselbar * Druckmechanik * dokumentenecht * Ausführung der Griffzone: ergonomisch, dreikant, gummiert * Material der Spitze: Edelstahl","For ideal placement in the hand. Its modern design raises it above the average. With revolutionary ViscoGlide® technology.<p>* Line width: 0.5 mm * type designation of the line width: M * writing color: blue * type designation of the refill: Slider 757 * refill exchangeable * printing mechanism * waterproof * design of the grip zone: ergonomic, three-edged, rubberized * tip material: stainless steel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warehouse1,20,1,0,,,abstract,DEFAULT,DE,EUR,245,292,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/A007352X,https://d2s0ynfc62ej12.cloudfront.net/image/A007352X?$normal$,de_DE,0,product_image_1,
M23457,,AT,308-cer,2,0,#FFFFFF,Standard Taxes,,,,,"Für eine ideale Haltung der Hand. Sein modernes Design hebt sich vom Durchschnitt ab. Mit revolutionärer ViscoGlide®-Technology.<p>* Strichstärke: 0,5 mm * Typbezeichnung der Strichstärke: M * Schreibfarbe: blau * Typbezeichnung der Mine: Slider 757 * Mine auswechselbar * Druckmechanik * dokumentenecht * Ausführung der Griffzone: ergonomisch, dreikant, gummiert * Material der Spitze: Edelstahl","Für eine ideale Haltung der Hand. Sein modernes Design hebt sich vom Durchschnitt ab. Mit revolutionärer ViscoGlide®-Technology.<p>* Strichstärke: 0,5 mm * Typbezeichnung der Strichstärke: M * Schreibfarbe: blau * Typbezeichnung der Mine: Slider 757 * Mine auswechselbar * Druckmechanik * dokumentenecht * Ausführung der Griffzone: ergonomisch, dreikant, gummiert * Material der Spitze: Edelstahl","Schreibgeräte,Schreibgeräte,Schreibgeräte,Schreibgeräte,Kugelschreiber,Kugelschreiber,Kugelschreiber,Kugelschreiber,Kulis,Kulis,Kulis,Kulis,Kulischreiber,Kulischreiber,Kulischreiber,Kulischreiber","Schreibgeräte,Schreibgeräte,Schreibgeräte,Schreibgeräte,Kugelschreiber,Kugelschreiber,Kugelschreiber,Kugelschreiber,Kulis,Kulis,Kulis,Kulis,Kulischreiber,Kulischreiber,Kulischreiber,Kulischreiber",/de/schneider-kugelschreiber-haptify-m-0-5mm-M23457,/en/schneider-kugelschreiber-haptify-m-0-5mm-M23457,,,,,,abstract,"Schneider Kugelschreiber HAPTIFY M 0,5mm","Schneider ballpoint pen HAPTIFY M 0.5 mm","Für eine ideale Haltung der Hand. Sein modernes Design hebt sich vom Durchschnitt ab. Mit revolutionärer ViscoGlide®-Technology.<p>* Strichstärke: 0,5 mm * Typbezeichnung der Strichstärke: M * Schreibfarbe: blau * Typbezeichnung der Mine: Slider 757 * Mine auswechselbar * Druckmechanik * dokumentenecht * Ausführung der Griffzone: ergonomisch, dreikant, gummiert * Material der Spitze: Edelstahl","For ideal placement in the hand. Its modern design raises it above the average. With revolutionary ViscoGlide® technology.<p>* Line width: 0.5 mm * type designation of the line width: M * writing color: blue * type designation of the refill: Slider 757 * refill exchangeable * printing mechanism * waterproof * design of the grip zone: ergonomic, three-edged, rubberized * tip material: stainless steel",material,Metall,material,Metall,material,metal,wischfest,Nein,wischfest,Nein,wischfest,No,abwischbar,Nein,abwischbar,Nein,abwischbar,No,wasserfest,Nein,wasserfest,Nein,wasserfest,No,nachfuellbar,Nein,nachfuellbar,Nein,nachfuellbar,No,schreibfarbe,blau,schreibfarbe,blau,schreibfarbe,blue,brand,Schneider,brand,Schneider,brand,Schneider,,,,,,,abstract,DEFAULT,DE,CHF,279,332,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/A007352X,https://d2s0ynfc62ej12.cloudfront.net/image/A007352X?$normal$,en_US,1,product_image_2,
M23457,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/A007293C,https://d2s0ynfc62ej12.cloudfront.net/image/A007293C?$normal$,de_DE,2,product_image_3,
M23457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/A007293C,https://d2s0ynfc62ej12.cloudfront.net/image/A007293C?$normal$,en_US,3,product_image_4,
M23457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/A007292U,https://d2s0ynfc62ej12.cloudfront.net/image/A007292U?$normal$,de_DE,4,product_image_5,
M23457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/A007292U,https://d2s0ynfc62ej12.cloudfront.net/image/A007292U?$normal$,en_US,5,product_image_6,
M23457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/A007292S,https://d2s0ynfc62ej12.cloudfront.net/image/A007292S?$normal$,de_DE,6,product_image_7,
M23457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/A007292S,https://d2s0ynfc62ej12.cloudfront.net/image/A007292S?$normal$,en_US,7,product_image_8,
M58105,102183,DE,74045-cer,2,0,red,Standard Taxes,,,"office akktiv Operator-Drehstuhl, Muldensitz",,"Pflegeleichter Stoffbezug. Bezugsmaterial Trevira CS – schwer entflammbar. Erfüllt die Brandschutznorm EN 1021, Teil 1 + 2. <br/>Gestell Aluminium, schwarz pulverbeschichtet. Standardmäßig Rollen für weiche Böden.","Pflegeleichter Stoffbezug. Bezugsmaterial Trevira CS – schwer entflammbar. Erfüllt die Brandschutznorm EN 1021, Teil 1 + 2. <br/>Gestell Aluminium, schwarz pulverbeschichtet. Standardmäßig Rollen für weiche Böden.","Bürodrehstuhl,Bürostuhl,Drehstuhl,Operatordrehstuhl,Schreibtischstuhl,Stuhl,akktiv,aktiv,office","Bürodrehstuhl,Bürostuhl,Drehstuhl,Operatordrehstuhl,Schreibtischstuhl,Stuhl,akktiv,aktiv,office",/de/office-akktiv-operator-drehstuhl-rueckenlehnenhoehe-600-mm-punktsynchron-mechanik-muldensitz-M58105,/en/office-akktiv-operator-drehstuhl-rueckenlehnenhoehe-600-mm-punktsynchron-mechanik-muldensitz-M58105,,,,,,abstract,"office akktiv Operator-Drehstuhl, Rückenlehnenhöhe 600 mm - Punktsynchron-Mechanik, Muldensitz","office akktiv operator swivel chair, backrest height 600 mm - point-synchronous mechanism, sliding seat","Pflegeleichter Stoffbezug. Bezugsmaterial Trevira CS – schwer entflammbar. Erfüllt die Brandschutznorm EN 1021, Teil 1 + 2. <br/>Gestell Aluminium, schwarz pulverbeschichtet. Standardmäßig Rollen für weiche Böden.","Easy-to-care-for fabric cover. Cover material Trevira CS – fire-resistant. Fulfills the fire protection norm EN 1021, Part1 + 2. <br/>Aluminum substructure, black powder-coated. Standard rollers for soft floors.",norm,"DIN EN 1335 Teil 1 – 3, DIN EN 12527 + DIN EN 12529",norm,"DIN EN 1335 Teil 1 – 3, DIN EN 12527 + DIN EN 12529",norm,"DIN EN 1335 Part 1 – 3, DIN EN 12527 + DIN EN 12529",farbe,rot,farbe,rot,farbe,red,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,piece,reihenverbinder,Nein,reihenverbinder,Nein,reihenverbinder,No,sitzschalenform,Muldensitz,sitzschalenform,Muldensitz,sitzschalenform,Contoured seat,rollenausfuehrung,Rollen für weiche Böden,rollenausfuehrung,Rollen für weiche Böden,rollenausfuehrung,rollers for soft floors,brand,office akktiv,brand,office akktiv,brand,office akktiv,,,,,group_key_3,3,abstract,DEFAULT,DE,EUR,16840,20040,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/00035967-01,https://d2s0ynfc62ej12.cloudfront.net/image/00035967-01?$normal$,de_DE,0,product_image_9,
M58105,102183,AT,,,,,,,,,,,,,,,,,,,1,1,concrete,"office akktiv Operator-Drehstuhl, Rückenlehnenhöhe 600 mm - Punktsynchron-Mechanik, Muldensitz, rot","office active vertebral disc swivel chair, backrest height 600 mm - point-synchronous mechanism, sliding seat, red","Pflegeleichter Stoffbezug. Bezugsmaterial Trevira CS – schwer entflammbar. Erfüllt die Brandschutznorm EN 1021, Teil 1 + 2. <br/>Gestell Aluminium, schwarz pulverbeschichtet. Standardmäßig Rollen für weiche Böden.","Easy-to-care-for fabric cover. Cover material Trevira CS – fire-resistant. Fulfills the fire protection norm EN 1021, Part1 + 2. <br/>Aluminum substructure, black powder-coated. Standard rollers for soft floors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warehouse1,20,1,0,,,abstract,DEFAULT,DE,CHF,19197,22845,,abstract,default,https://d2s0ynfc62ej12.cloudfront.net/image/00035967-01,https://d2s0ynfc62ej12.cloudfront.net/image/00035967-01?$normal$,en_US,1,product_image_10,
