category_key,category_product_order,abstract_sku,tax_set_name,name.de_DE,name.en_US,description.de_DE,description.en_US,url.de_DE,url.en_US,meta_title.de_DE,meta_title.en_US,meta_keywords.de_DE,meta_keywords.en_US,meta_description.de_DE,meta_description.en_US,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US,attribute_key_2,value_2,attribute_key_2.de_DE,value_2.de_DE,attribute_key_2.en_US,value_2.en_US,attribute_key_3,value_3,attribute_key_3.de_DE,value_3.de_DE,attribute_key_3.en_US,value_3.en_US,attribute_key_4,value_4,attribute_key_4.de_DE,value_4.de_DE,attribute_key_4.en_US,value_4.en_US,attribute_key_5,value_5,attribute_key_5.de_DE,value_5.de_DE,attribute_key_5.en_US,value_5.en_US,attribute_key_6,value_6,attribute_key_6.de_DE,value_6.de_DE,attribute_key_6.en_US,value_6.en_US,color_code,new_from,new_to,attribute_key_7,value_7,attribute_key_7.de_DE,value_7.de_DE,attribute_key_7.en_US,value_7.en_US,attribute_key_8,value_8,attribute_key_8.de_DE,value_8.de_DE,attribute_key_8.en_US,value_8.en_US
product-bundles,1,B0001,Standard Taxes,Unser Arbeitsplatz Favorit als Bündel,Our Favourite Workspace Bundle,"Dieses Bündel enthält einen Stuhl, einen Arbeitstisch und ein Keyboard.","This bundle contains a Desk, a Chair and a Keyboard.",/de/arbeitsplatz-favorit-bundel,/en/favorite-workspace-bundle,,,,,,,bundled_product,Yes,bundled_product,Ja,bundled_product,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-01 00:00:00.000000,2037-12-31 00:00:00.000000,,,,,,,,,,,,
product-bundles,2,B0002,Standard Taxes,Unser Bündel für den Konferenzraum,Our Conference Room Bundle,Dieses Bündel enthält einen Konferenztisch mit,This bundle contains a Conference Table with multiple Chairs.,/de/konferenzraum-bundel,/en/conference-room-bundle,,,,,,,bundled_product,Yes,bundled_product,Ja,bundled_product,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-01 00:00:00.000000,2037-12-31 00:00:00.000000,,,,,,,,,,,,
100267-cer,0,C2235,Standard Taxes,Schomburg Stehpult - HxBxT 1094 x 600 x 500 mm ,Schomburg standing desk - HxWxD 1094 x 600 x 500 mm ,"<p>Das Stehpult von Schomburg ist im ganzen Büro einsetzbar. Dank der vier Doppelrollen, wovon zwei Stück <b>feststellbar</b> sind, kann das Pult problemlos im gesamten Büro bewegt werden. Die Schreibplatte ist in <b>vier Stufen höhenverstellbar</b> und kann somit an den Benutzer angepasst werden. Die Seitenteile, die Einlegeböden und die Rückwand sind aus 16 mm dickem Material. Die obere Platte sowie der Unterboden sind <b>22 mm stark</b>, um Stabilität zu gewährleisten und die Schnittkanten sind mit einer <b>ABS Dickkante</b> versehen worden. Der Schubkasten läuft auf Kugelauszügen aus Metall und wurde mit einem schicken Metallgriff in <b>Edelstahl-Optik</b> ausgestattet. Alle Oberflächen wurden mit <b>Melaminharz beschichtet</b>, um eine einheitlichem, widerstandsfähige Gestalt zu schaffen. </p><p>Das Stehpult wird zerlegt geliefert und kann einfach montiert werden.</p><ul><li>Feststellbare Rollen</li><li>Stehpult mit höhenverstellbarer Schreibplatte</li><li>ABS Dickkante</li><li> Metallgriff in Edelstahl-Optik</li><li>Melaminharzbeschichtung</li></ul>","<p>The standing desk from Schomburg can be used all over in the office. Thanks to its four double rollers, of which two pieces are <b>adjustable</b>, the desk can be easily moved throughout the entire office. The writing panel is <b>adjustable in four levels</b> and can thus be adjusted to the user. The side parts, the shelves, and the rear wall are made of 16-mm-thick material. The upper panel as well as the underbody are <b>22 mm thick</b> so as to ensure stability, and the cut edges are provided with a <b>thick ABS rim</b>. The drawer runs on metal ball pull-outs and has been equipped with a spiffy metal grip in a <b>stainless steel look</b>. All surfaces have been <b>coated with melamine resin</b> so as to create a unified, resistant design. </p><p>The standing desk is delivered disassembled and can be assembled easily.</p><ul><li>Adjustable rollers</li><li>Standing desk with height-adjustable writing surface</li><li>Thick ABS edge</li><li> Metal grip in stainless steel look</li><li>Melamine coating</li></ul>",/de/schomburg-stehpult-hxbxt-1094-x-600-x-500-mm-C2235,/en/schomburg-stehpult-hxbxt-1094-x-600-x-500-mm-C2235,,,,,"<p>Das Stehpult von Schomburg ist im ganzen Büro einsetzbar. Dank der vier Doppelrollen, wovon zwei Stück <b>feststellbar</b> sind, kann das Pult problemlos im gesamten Büro bewegt werden. Die Schreibplatte ist in <b>vier Stufen höhenverstellbar</b> und kann somit an den Benutzer angepasst werden. Die Seitenteile, die Einlegeböden und die Rückwand sind aus 16 mm dickem Material. Die obere Platte sowie der Unterboden sind <b>22 mm stark</b>, um Stabilität zu gewährleisten und die Schnittkanten sind mit einer <b>ABS Dickkante</b> versehen worden. Der Schubkasten läuft auf Kugelauszügen aus Metall und wurde mit einem schicken Metallgriff in <b>Edelstahl-Optik</b> ausgestattet. Alle Oberflächen wurden mit <b>Melaminharz beschichtet</b>, um eine einheitlichem, widerstandsfähige Gestalt zu schaffen. </p><p>Das Stehpult wird zerlegt geliefert und kann einfach montiert werden.</p><ul><li>Feststellbare Rollen</li><li>Stehpult mit höhenverstellbarer Schreibplatte</li><li>ABS Dickkante</li><li> Metallgriff in Edelstahl-Optik</li><li>Melaminharzbeschichtung</li></ul>","<p>Das Stehpult von Schomburg ist im ganzen Büro einsetzbar. Dank der vier Doppelrollen, wovon zwei Stück <b>feststellbar</b> sind, kann das Pult problemlos im gesamten Büro bewegt werden. Die Schreibplatte ist in <b>vier Stufen höhenverstellbar</b> und kann somit an den Benutzer angepasst werden. Die Seitenteile, die Einlegeböden und die Rückwand sind aus 16 mm dickem Material. Die obere Platte sowie der Unterboden sind <b>22 mm stark</b>, um Stabilität zu gewährleisten und die Schnittkanten sind mit einer <b>ABS Dickkante</b> versehen worden. Der Schubkasten läuft auf Kugelauszügen aus Metall und wurde mit einem schicken Metallgriff in <b>Edelstahl-Optik</b> ausgestattet. Alle Oberflächen wurden mit <b>Melaminharz beschichtet</b>, um eine einheitlichem, widerstandsfähige Gestalt zu schaffen. </p><p>Das Stehpult wird zerlegt geliefert und kann einfach montiert werden.</p><ul><li>Feststellbare Rollen</li><li>Stehpult mit höhenverstellbarer Schreibplatte</li><li>ABS Dickkante</li><li> Metallgriff in Edelstahl-Optik</li><li>Melaminharzbeschichtung</li></ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FFFFFF,,,brand,Schomburg,brand,Schomburg,brand,Schomburg,,,,,,
cables,1,cable-hdmi-1,Standard Taxes,HDMI Kabel,HDMI cable,"Mit dem High-Speed-HDMI-Kabel können Sie klare, klare und sofortige Verbindungen herstellen. Mit diesem hochwertigen HDMI-Kabel (High-Definition Multimedia Interface) können Sie eine Vielzahl von Geräten in den Bereichen Home Entertainment, Computer, Spiele und mehr an Ihren HDTV, Projektor oder Monitor anschließen. Perfekt für diejenigen, die mit mehreren Plattformen und Geräten interagieren. Sie können sich auf eine starke Leistung und Wiedergabe verlassen, wenn es um Ihre digitale Erfahrung geht.","Enjoy clear, crisp, immediate connectivity with the High-Speed HDMI Cable. This quality High-Definition Multimedia Interface (HDMI) cable allows you to connect a wide variety of devices in the realms of home entertainment, computing, gaming, and more to your HDTV, projector, or monitor. Perfect for those that interact with multiple platforms and devices, you can rely on strong performance and playback delivery when it comes to your digital experience.",/de/hdmi-kabel-1,/en/hdmi-cable-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cables,1,cable-vga-1,Standard Taxes,VGA Kabel,VGA cable,"Einschraubbares VGA-Kabel mit 15-poligem Ein- und Ausgang.<p>Unterstützt Auflösungen von 800 x 600 (SVGA), 1024 x 768 (XGA), 1600 x 1200 (UXGA), 1080 p (Full HD), 1920 x 1200 (WUXGA) und höher hochauflösende LCD- und LED-Monitore.<p>Das VGA-Kabel ist mit geformten Zugentlastungssteckern für eine lange Lebensdauer, Griffflächen zum einfachen Ein- und Ausstecken sowie handfest angezogenen Schrauben für eine sichere Verbindung ausgestattet.<p>Vergoldete Steckverbinder; 100% blanke Kupferleiter.<p>Verbindet einen mit VGA ausgestatteten Computer mit einem beliebigen Display mit 15-poligem VGA-Anschluss.","Screw-in VGA cable with 15-pin male input and output.<p>Supports resolutions at 800x600 (SVGA), 1024x768 (XGA), 1600x1200 (UXGA), 1080p (Full HD), 1920x1200 (WUXGA), and up for high resolution LCD and LED monitors.<p>The VGA cord engineered with molded strain relief connectors for durability, grip treads for easy plugging and unplugging, and finger-tightened screws for a secure connection.<p>Gold-plated connectors; 100% bare copper conductors.<p>Links VGA-equipped computer to any display with 15-pin VGA port.",/de/vga-kabel-1,/en/vga-cable-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food,1,fish-1,Standard Taxes,Atlantischer Lachs (40kg),Atlantic salmon (40 kg),"Das Lachs natur passt ideal zu Salaten, Risotto oder Oasta. Das Lachs ist reich an Omega-3-Fettsäuren und daher besonders gesund. Der Lachs stammt aus dem Atlantik und wird sorgsam begutachtet, bevor er in die Dose kommt wird der Fisch außerdem enthäutet sowie entgrätet.","The salmon nature is ideal for salads, risotto or oasta. The salmon is rich in omega-3 fatty acids and therefore especially healthy. The salmon comes from the Atlantic Ocean and is carefully inspected, before it gets into the can, the fish is also skinned and deburred.",/de/atlantischer-lachs-1,/en/atlantic-salmon-1,,,,,,,max-length,150,,,,,common-length,120,,,,,max-weight,47,,,,,common-weight,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005254-cer,2,M1000785,Standard Taxes,"Holz-Schalenstuhl, gepolstert - VE 4 Stk, Gestell verchromt","Wood stackable chair, upholstered - VE 4 pieces, substructure chromed"," Sitze und Rückenlehnen aus Buchenschichtholz, anatomisch geformt.<br/>Mit gepolsterter Sitz- und Rückenlehne. Polster 100% Polyester, feuersicher nach BS 5852:1990 (BS 7176:1991).<br/>Stahlrohrgestell aus Rundrohr, Ø 20 / 2 mm. Mit Kunststoffbodengleitern.<br/>Stühle vielfach stapelbar.<br/><B>Verpackungseinheit 4 Stück.</B>  "," Seats and backrests made of beech plywood, anatomically formed.<br/>With upholstered seats and backrests. Upholstery 100% polyester, fire-resistance according to BS 5852:1990 (BS 7176:1991).<br/>Tubular steel frame made of round tube, Ø 20 / 2 mm. With plastic floor glides.<br/>Chairs stackable in multiple ways.<br/><B>Package unit 4 pieces.</B>  ",/de/holz-schalenstuhl-gepolstert-ve-4-stk-gestell-verchromt-M1000785,/en/holz-schalenstuhl-gepolstert-ve-4-stk-gestell-verchromt-M1000785,"Holz-Schalenstuhl gepolstert, Gestell verchromt",,"Besucherstuhl,Holzstapelstuhl,Holzstapelstühle,Kantinenmöbel,Kantinenstuhl,Polsterstapelstuhl,Schalenstuhl,Schalenstühle,Stapelstuhl,Stuhl","Besucherstuhl,Holzstapelstuhl,Holzstapelstühle,Kantinenmöbel,Kantinenstuhl,Polsterstapelstuhl,Schalenstuhl,Schalenstühle,Stapelstuhl,Stuhl"," Sitze und Rückenlehnen aus Buchenschichtholz, anatomisch geformt.<br/>Mit gepolsterter Sitz- und Rückenlehne. Polster 100% Polyester, feuersicher nach BS 5852:1990 (BS 7176:1991).<br/>Stahlrohrgestell aus Rundrohr, Ø 20 / 2 mm. Mit Kunststoffbodengleitern.<br/>Stühle vielfach stapelbar.<br/><B>Verpackungseinheit 4 Stück.</B>  "," Sitze und Rückenlehnen aus Buchenschichtholz, anatomisch geformt.<br/>Mit gepolsterter Sitz- und Rückenlehne. Polster 100% Polyester, feuersicher nach BS 5852:1990 (BS 7176:1991).<br/>Stahlrohrgestell aus Rundrohr, Ø 20 / 2 mm. Mit Kunststoffbodengleitern.<br/>Stühle vielfach stapelbar.<br/><B>Verpackungseinheit 4 Stück.</B>  ",stapelbar,Ja,stapelbar,Ja,stapelbar,Yes,preiseinheit,VE,preiseinheit,VE,preiseinheit,VE,reihenverbinder,Nein,reihenverbinder,Nein,reihenverbinder,No,lendenwirbelstuetze,Nein,lendenwirbelstuetze,Nein,lendenwirbelstuetze,No,gegendruckeinstellung,Nein,gegendruckeinstellung,Nein,gegendruckeinstellung,No,ausfuehrung_sitzschale,Sitz_Rueckenlehne_durchgehend,ausfuehrung_sitzschale,Sitz_Rueckenlehne_durchgehend,ausfuehrung_sitzschale,seat_backrest_continuous,#FFFFFF,,,brand,Example Company,brand,Example Company,brand,Example Company,,,,,,
1002666-cer,2,M1000786,Standard Taxes,"HSM Aktenvernichter SECURIO - für Schreibtisch, 25 l, 300 Watt","HSM SECURIO document shredder - for desktop, 25 l, 300 watts"," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. "," HSM SECURIO in traffic white, RAL 9016. – Automatic start-stop function<br/>–Multi-function operating button<br/>–Auto-reversal in case of paper jam<br/>–collecting vessel with viewing window for fill level display<br/>With ZES (Zero Energy Stand-by), zero power consumption in stand-by operation.<br/>Removable upper part for emptying. ",/de/hsm-aktenvernichter-securio-fuer-schreibtisch-25-l-300-watt-M1000786,/en/hsm-aktenvernichter-securio-fuer-schreibtisch-25-l-300-watt-M1000786,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. "," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. ",farbe,verkehrsweiß RAL 9016,farbe,verkehrsweiß RAL 9016,farbe,traffic white RAL 9016,fahrbar,Nein,fahrbar,Nein,fahrbar,No,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,piece,,,,,,,,,,,,,,,,,,,#FFFFFF,,,brand,HSM,brand,HSM,brand,HSM,,,,,,
1002666-cer,2,M1000838,Standard Taxes,"HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 1800 Watt","HSM SECURIO document shredder - for open-plan offices, 145 l, 1800 watts"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM SECURIO in traffic white, RAL 9016. – Multi-function button, reverse button and installed key lock<br/>– Automatic reversing in case of paper jam<br/>– Fill level display through viewing window<br/>– Automatic oiler for the cutting system by particle cutting devices<br/>– Mobile on rollers<br/><B>With EMCS (Energy Management Control System)</B><br/>Up to 90% energy savings in comparison to usual stand-by switching.<br/><B>Switches off in two stages:</B><br/>– 2 minutes after use, the device automatically switches into energy-saving sleep mode<br/>– 1 hour after use, the device switches off completely<br/>Thus, at night and on weekends no power is used. ",/de/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-1800-watt-M1000838,/en/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-1800-watt-M1000838,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. ",farbe,verkehrsweiß RAL 9016,farbe,verkehrsweiß RAL 9016,farbe,traffic white RAL 9016,fahrbar,Nein,fahrbar,Nein,fahrbar,No,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,piece,,,,,,,,,,,,,,,,,,,#FFFFFF,,,brand,HSM,brand,HSM,brand,HSM,,,,,,
1002666-cer,2,M1000839,Standard Taxes,"HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 2100 Watt","HSM SECURIO document shredder - for open-plan offices, 145 l, 2100 watts"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM SECURIO in traffic white, RAL 9016. – Multi-function button, reverse button and installed key lock<br/>– Automatic reversing in case of paper jam<br/>– Fill level display through viewing window<br/>– Automatic oiler for the cutting system by particle cutting devices<br/>– Mobile on rollers<br/><B>With EMCS (Energy Management Control System)</B><br/>Up to 90% energy savings in comparison to usual stand-by switching.<br/><B>Switches off in two stages:</B><br/>– 2 minutes after use, the device automatically switches into energy-saving sleep mode<br/>– 1 hour after use, the device switches off completely<br/>Thus, at night and on weekends no power is used. ",/de/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-2100-watt-M1000839,/en/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-2100-watt-M1000839,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. ",farbe,verkehrsweiß RAL 9016,farbe,verkehrsweiß RAL 9016,farbe,traffic white RAL 9016,fahrbar,Nein,fahrbar,Nein,fahrbar,No,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,piece,,,,,,,,,,,,,,,,,,,#FFFFFF,2018-08-01 00:00:00.000000,2037-12-31 00:00:00.000000,brand,HSM,brand,HSM,brand,HSM,,,,,,
