image_set_name,external_url_large,external_url_small,locale,abstract_sku,concrete_sku
default,https://certeo.scene7.com/is/image/certeo/9472963-B-b,https://certeo.scene7.com/is/image/certeo/9472963-B-b?$normal$,de_DE,C1318,
default,https://certeo.scene7.com/is/image/certeo/9472965-B--b,https://certeo.scene7.com/is/image/certeo/9472965-B--b?$normal$,de_DE,C1363,
default,https://certeo.scene7.com/is/image/certeo/9472961-BE-b,https://certeo.scene7.com/is/image/certeo/9472961-BE-b?$normal$,de_DE,C1376,
default,https://certeo.scene7.com/is/image/certeo/9472969-BE-b,https://certeo.scene7.com/is/image/certeo/9472969-BE-b?$normal$,de_DE,C1378,
default,https://certeo.scene7.com/is/image/certeo/9472967-B-b,https://certeo.scene7.com/is/image/certeo/9472967-B-b?$normal$,de_DE,C1415,
default,https://certeo.scene7.com/is/image/certeo/22115z Stehpult lichtgrau,https://certeo.scene7.com/is/image/certeo/22115z Stehpult lichtgrau?$normal$,de_DE,C2235,
default,https://certeo.scene7.com/is/image/certeo/22515z Stehpult lichtgrau_Tür,https://certeo.scene7.com/is/image/certeo/22515z Stehpult lichtgrau_Tür?$normal$,de_DE,C2237,
default,https://certeo.scene7.com/is/image/certeo/23015z lichtgrau,https://certeo.scene7.com/is/image/certeo/23015z lichtgrau?$normal$,de_DE,C2239,
default,https://certeo.scene7.com/is/image/certeo/23515z lichtgrau mit Stange,https://certeo.scene7.com/is/image/certeo/23515z lichtgrau mit Stange?$normal$,de_DE,C2242,
default,https://certeo.scene7.com/is/image/certeo/00047883F-01,https://certeo.scene7.com/is/image/certeo/00047883F-01?$normal$,de_DE,M1000785,
default,https://certeo.scene7.com/is/image/certeo/AA00945514FF-01,https://certeo.scene7.com/is/image/certeo/AA00945514FF-01?$normal$,de_DE,M1000785,
default,https://certeo.scene7.com/is/image/certeo/AA00945512FF-01,https://certeo.scene7.com/is/image/certeo/AA00945512FF-01?$normal$,de_DE,M1000785,
default,https://certeo.scene7.com/is/image/certeo/AA00945513FF-01,https://certeo.scene7.com/is/image/certeo/AA00945513FF-01?$normal$,de_DE,M1000785,
default,https://certeo.scene7.com/is/image/certeo/AA00945515FF-01,https://certeo.scene7.com/is/image/certeo/AA00945515FF-01?$normal$,de_DE,M1000785,
default,https://certeo.scene7.com/is/image/certeo/AA00522202FF-01,https://certeo.scene7.com/is/image/certeo/AA00522202FF-01?$normal$,de_DE,M1000786,
default,https://certeo.scene7.com/is/image/certeo/00052619-01,https://certeo.scene7.com/is/image/certeo/00052619-01?$normal$,de_DE,M1000786,
default,https://certeo.scene7.com/is/image/certeo/00048295-01,https://certeo.scene7.com/is/image/certeo/00048295-01?$normal$,de_DE,M1000838,
default,https://certeo.scene7.com/is/image/certeo/AA00522206FF-01,https://certeo.scene7.com/is/image/certeo/AA00522206FF-01?$normal$,de_DE,M1000838,
default,https://certeo.scene7.com/is/image/certeo/00031340-01,https://certeo.scene7.com/is/image/certeo/00031340-01?$normal$,de_DE,M1000838,
default,https://certeo.scene7.com/is/image/certeo/00048296-01,https://certeo.scene7.com/is/image/certeo/00048296-01?$normal$,de_DE,M1000839,
default,https://certeo.scene7.com/is/image/certeo/AA00522209FF-01,https://certeo.scene7.com/is/image/certeo/AA00522209FF-01?$normal$,de_DE,M1000839,
default,https://certeo.scene7.com/is/image/certeo/00031340-01,https://certeo.scene7.com/is/image/certeo/00031340-01?$normal$,de_DE,M1000839,
default,https://certeo.scene7.com/is/image/certeo/00048297-01,https://certeo.scene7.com/is/image/certeo/00048297-01?$normal$,de_DE,M1000840,
default,https://certeo.scene7.com/is/image/certeo/AA00522213FF-01,https://certeo.scene7.com/is/image/certeo/AA00522213FF-01?$normal$,de_DE,M1000840,
default,https://certeo.scene7.com/is/image/certeo/00031340-01,https://certeo.scene7.com/is/image/certeo/00031340-01?$normal$,de_DE,M1000840,
default,https://certeo.scene7.com/is/image/certeo/G00047132-01,https://certeo.scene7.com/is/image/certeo/G00047132-01?$normal$,de_DE,M1002203,
default,https://certeo.scene7.com/is/image/certeo/G00047133-01,https://certeo.scene7.com/is/image/certeo/G00047133-01?$normal$,de_DE,M1002203,
default,https://certeo.scene7.com/is/image/certeo/G00047133-02,https://certeo.scene7.com/is/image/certeo/G00047133-02?$normal$,de_DE,M1002203,
default,https://certeo.scene7.com/is/image/certeo/AA00522204FF-01,https://certeo.scene7.com/is/image/certeo/AA00522204FF-01?$normal$,de_DE,M1006484,
default,https://certeo.scene7.com/is/image/certeo/00052620-01,https://certeo.scene7.com/is/image/certeo/00052620-01?$normal$,de_DE,M1006484,
