attribute_key,is_super
farbe,1
fahrbar,1
preiseinheit,0
ausfuehrung,1
ablageleiste,0
gestellausfuehrung,1
material,1
utensilienschub,0
einzelauszugssperre,0
ausziehbare_mausplattev2,0
beschriftungsmoeglichkeit,0
anlieferung,1
oberflaeche,1
konstruktion,1
ausfuehrung_spindgestell,0
tuermaterial,0
verriegelung,0
korpusmaterial,1
norm,0
stapelbar,0
reihenverbinder,0
rollenausfuehrung,1
lendenwirbelstuetze,0
gegendruckeinstellung,0
sitzschalenform,0
armlehnenausfuhrung,1
bezugsmaterial,1
gegendruckeistellung,0
gestellausfuhrung,1
gestellfarbe,1
hohenverstellbereich_mm,1
kategorie,1
lendenwirbelstutze,0
rollenausfuhrung,1
ruckenlehnenhohe_mm,1
sitzbreite_mm,1
sitzmechanik,1
sitzneigungsverstellung,0
sitztiefe_mm,1
ausfuehrung_sitzschale,0
unterbau,0
gestellmaterial,1
hoehenverstellung,0
elektrifizierungv2,0
verschliessbarkeit,1
zusaetzlicher_stutzfuss,0
plattenform,0
hoehenverstellungsart,0
radlagerung,0
klappbar,0
gelaender,0
ausfuehrung_waage,0
kurzbezeichnung_moebel,0
gabellange_mm,1
lastrollenausfuhrung,1
lastrollenmaterial,0
lenkraddurchmesser_mm,0
lenkradmaterial,1
tragbreite_mm,0
tragfahigkeit_kg,1
gabelbreite_mm,0
gesamtlange_mm,1
hubbereich_mm,0
lastrollendurchmesser_mm,0
mindestbestellmenge_pces,1
oberflache,1
ausstattung_waagen,1
gewicht_kg,1
lastrollenbreite_mm,1
lenkeinschlag_grad,0
lenkradbreite_mm,0
schutzart,1
ziffernschritt_kg,0
tafelmaterial,0
radausstattung,1
selbstkleben,0
stapelverarbeitbar,0
innendruck_vorhanden,1
seitenzahl_vorhanden,0
beidseitig_bedruckbar,0
mit_beschriftungsfeld,0
selbstdurchschreibend,0
seidenfutter_vorhanden,1
abheftlochung_vorhanden,0
blattniederhalter_vorhanden,0
zeilennummerierung_vorhanden,0
batterie,0
bedruckbar,0
rutschfest,0
clip_vorhanden,0
griff_vorhanden,0
rahmen_vorhanden,0
garantie_gewaehrt,1
hoehenverstellbar,1
mehrfach_beschreibbar,0
