product_list_key,concrete_sku
pl-002,100907
pl-002,103296
pl-002,673327
pl-002,100949
pl-002,104190
pl-002,104192
pl-002,104523
pl-002,100588
pl-002,102988
pl-002,107403
pl-002,101007
pl-002,100999
pl-002,102180
pl-002,102708
pl-002,102712
pl-002,102976
pl-002,103388
pl-002,104151
pl-002,104440
pl-002,107396
pl-002,102935
pl-002,102936
pl-002,100223
pl-002,100266
pl-002,102924
pl-002,102925
pl-002,102775
pl-002,102779
pl-002,101226
pl-002,100107
pl-002,101828
pl-002,107061
pl-003,422573
pl-003,422721
pl-003,422722
pl-003,422745
pl-003,423105
pl-003,423175
pl-003,423178
pl-003,423452
pl-003,423456
pl-003,423383
pl-003,422741
pl-003,422780
pl-003,422855
pl-003,423237
pl-003,422743
pl-003,422573
pl-003,422721
pl-003,422722
pl-003,422745
pl-003,423105
pl-003,423175
pl-003,423178
pl-003,423452
pl-003,423456
