"image_set_name","external_url_large","external_url_small","locale","abstract_sku","concrete_sku","sort_order"
"default","//d2s0ynfc62ej12.cloudfront.net/image/22115z Stehpult lichtgrau","//d2s0ynfc62ej12.cloudfront.net/image/22115z Stehpult lichtgrau?$normal$","de_DE","C2235","","0"
"default","//d2s0ynfc62ej12.cloudfront.net/image/22115z Stehpult lichtgrau","//d2s0ynfc62ej12.cloudfront.net/image/22115z Stehpult lichtgrau?$normal$","en_US","C2235","","1"
"default","//d2s0ynfc62ej12.cloudfront.net/image/00047883F-01","//d2s0ynfc62ej12.cloudfront.net/image/00047883F-01?$normal$","de_DE","M1000785","","0"
"default","//d2s0ynfc62ej12.cloudfront.net/image/00047883F-01","//d2s0ynfc62ej12.cloudfront.net/image/00047883F-01?$normal$","en_US","M1000785","","1"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00945514FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00945514FF-01?$normal$","de_DE","M1000785","","2"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00945514FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00945514FF-01?$normal$","en_US","M1000785","","3"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00945512FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00945512FF-01?$normal$","de_DE","M1000785","","4"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00945512FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00945512FF-01?$normal$","en_US","M1000785","","5"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00945513FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00945513FF-01?$normal$","de_DE","M1000785","","6"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00945513FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00945513FF-01?$normal$","en_US","M1000785","","7"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00945515FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00945515FF-01?$normal$","de_DE","M1000785","","8"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00945515FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00945515FF-01?$normal$","en_US","M1000785","","9"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00522202FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00522202FF-01?$normal$","de_DE","M1000786","","0"
"default","//d2s0ynfc62ej12.cloudfront.net/image/AA00522202FF-01","//d2s0ynfc62ej12.cloudfront.net/image/AA00522202FF-01?$normal$","en_US","M1000786","","1"
